,NO,EN
0,I KLASSEN,IN THE CLASS
1,Karim og Samira går på norskkurs. ,
2,På kurset lærer de å snakke og skrive norsk. ,
3,"Det går ganske bra, men noen ganger er det vanskelig å forstå norsk, ",
4,og det er vanskelig å finne ord.,
5,De snakker norsk med Håkon. Han er lærer.,He is a teacher.
6,Håkon: Hvordan går det? Snakker dere litt norsk med nordmenn nå?,
7,"Samira: Ja, jeg prøver å snakke norsk, men det er ikke lett.",
8,Jeg kan ikke så mange ord.,
9,"Håkon: Da kan du spørre: ""Hva heter det på norsk?""",
10,"Eller ""Hvordan sier du det på norsk?""",
11,"Samira: Ja, men det er vanskelig å forstå svaret.",
12,Håkon: Hva kan du si da?,
13,"Samira: Jeg kan si: Unnskyld, jeg forstår ikke.",
14,Kan du si det en gang til?,Can you repeat that?
15,"Karim: Eller ""Unnskyld, kan du gjenta?""",
16,"Håkon: Ja, det er bra. Det kan du si.",You can say that.
17,Karim: Noen ganger snakker folk veldig fort.,
18,"Da sier jeg: ""Unnskyld, kan du snakke langsomt?""",
19,Håkon: Snakker de langsomt da?,
20,"Karim: Ja, noen gjør det.",
21,Men mange snakker bare høyt!,
22,Hva gjør dere på norskkurset?,
23,"Hva er vanskelig, og hva er lett?",
24,Hva liker du å gjøre på norskkurset?,
25,Hvordan lærer du norsk?,How do you learn Norwegian?
26,HVA SKAL DERE GJØRE I HELGA?,What are you going to do this weekend?
27,Skal du jobbe i helga? ,Are you going to work this weekend?
28,Hva skal du gjøre i helga?,What are you doing this weekend?
29,Jeg vil gjerne slappe av. ,I would like to relax.
30,"Nei, jeg skal ikke jobbe.","No, I'm not going to work."
31,Jeg skal rydde. ,I'm going to clear.
32,"Ja, jeg må jobbe lørdag.","Yes, I have to work Saturday."
33,Jeg skal treffe venner. ,I'm going to meet friends.
34,"Nei, jeg skal slappe av.","No, I'll relax."
35,Jeg har lyst til å dra til byen. ,I want to go to town.
36,"Ja, jeg skal jobbe litt.","Yes, I'll work a little."
37,Jeg vil sove lenge. ,I want to sleep for a long time.
38,"Nei, jeg skal gjøre lekser.","No, I'll do homework."
39,Jeg vet ikke. ,I do not know.
40,"Nei, jeg vil sove lenge.","No, I want to sleep for a long time."
41,Håkon forteller i klassen,Håkon tells in the class
42,Lørdag og søndag har jeg fri. ,Saturday and Sunday I am free.
43,Lørdag pleier jeg å rydde og vaske hjemme. ,On Saturday I usually clean and wash at home.
44,Søndag slapper jeg av eller går på tur.,Sunday I relax or go for a walk.
45,Jeg gjør også litt skolearbeid. ,I also do some school work.
46,Men i helga skal jeg dra til Bergen. ,But this weekend I'm going to Bergen.
47,Der skal jeg gå på konsert. ,There I will go to a concert.
48,Jeg skal treffe en venn i Bergen. ,I'm going to meet a friend in Bergen.
49,"Jeg skal bo på hotell, og jeg skal spise på restaurant. ",I'm going to stay in a hotel and I'm going to eat at a restaurant.
50,"Det kommer til å bli fint, tror jeg.","It's going to be fine, I think."
51,"Håkon: Hva skal du gjøre i helga, Emma?","Håkon: What are you going to do this weekend, Emma?"
52,Skal du gå på tur? Eller skal du slappe av?,Should you go for a walk?Or are you going to relax?
53,Emma: Eh... Hva betyr helga?,Emma: Eh ... What does the weekend mean?
54,Håkon: Helga er lørdag og søndag.,Håkon: Helga is Saturday and Sunday.
55,Hva skal du gjøre lørdag og søndag?,What are you going to do Saturday and Sunday?
56,"Emma: Jeg skal kjøpe mat, og jeg skal rydde og vaske.",Emma: I'm going to buy food and I'm going to clean and wash.
57,Etterpå skal jeg trene.,Afterwards I will train.
58,"Samira: Jeg må også rydde, og etterpå skal jeg lese litt norsk.","Samira: I also have to clear, and afterwards I will read some Norwegian."
59,"Håkon: Bra. Hva med deg, Adil?","Håkon: Good.What about you, Adil?"
60,Adil: I helga vil jeg gjerne slappe av og sove lenge.,Adil: This weekend I would like to relax and sleep for a long time.
61,Lørdag skal jeg dra til byen og treffe venner.,On Saturday I will go to town and meet friends.
62,Vi skal gå på kino. Sondag pleier jeg å gå en tur i parken.,We will go to the movies.On Sunday I usually go for a walk in the park.
63,"Håkon: Hva med deg, Karim? Hvilke planer har du?","Håkon: What about you, Karim?What plans do you have?"
64,"Karim: Jeg har to barn, en gutt og ei jente.","Karim: I have two children, a boy and a girl."
65,Jeg skal dra i svømmehallen sammen med dem.,I'm going to go to the swimming pool with them.
66,"Etterpå skal jeg gjøre lekser, og jeg skal se på norsk tv.","Afterwards I will do homework, and I will watch Norwegian TV."
67,"Håkon: Og hva skal du gjøre, Sofia? Skal du gjøre lekser?","Håkon: And what are you going to do, Sofia?Are you going to do homework?"
68,Sofia: Nei. Jeg pleier å lese norsk i helga.,Sofia: No.I usually read Norwegian this weekend.
69,"Men nå får jeg besøk, og jeg har mye å gjøre.","But now I get a visit, and I have a lot to do."
70,Jeg må lage mat og bake ei kake.,I have to cook and bake a cake.
71,Adil: Mm. Jeg er glad i kake.,Adil: mm.I love cake.
72,Jeg vil gjerne smake!,I would like to taste!
73,"Håkon: Hva med deg, Irina? Hva skal du gjøre i helga?","Håkon: What about you, Irina?What are you doing this weekend?"
74,Jeg skal jobbe lørdag. Søndag skal jeg i kirka.,I'm going to work Saturday.Sunday I'm going to church.
75,Håkon: Bra!,Håkon: Good!
76,Nå kan dere sitte sammen i grupper og spørre hverandre: ,Now you can sit together in groups and ask each other:
77,Hva skal du gjøre lørdag og søndag?,What are you going to do Saturday and Sunday?
78,Adil: Må det være sant?,Adil: Must it be true?
79,"Håkon: Nei, dere kan bruke fantasi. ","Håkon: No, you can use imagination."
80,Men dere må bruke mange verb!,But you have to use many verbs!
81,I klassen snakker de om planer. ,In the class they talk about plans.
82,Håkon skal reise til Bergen.,Håkon will travel to Bergen.
83,Der skal han blant annet gå på konsert. ,"There he will, among other things, go to a concert."
84,Noen elever skal slappe av. ,Some students should relax.
85,Noen skal treffe venner.,Someone should meet friends.
86,Noen skal jobbe. ,Someone should work.
87,Håkon skriver setninger på tavla. ,Håkon writes sentences on the board.
88,Etterpå skal elevene sitte sammen i grupper og snakke.,"Afterwards, the students should sit together in groups and talk."
89,Hva skal elevene i norskklassen gjøre i helga?,What should the students in the Norwegian class do this weekend?
90,Hva skal du gjøre i morgen?,What are you going to do tomorrow?
91,Hva pleier du å gjøre i helga?,What do you tend to do this weekend?
92,Hva har du lyst til å gjøre i helga?,What do you want to do this weekend?
93,HÅKON ER LÆRER,Håkon is a teacher
94,"Jeg heter Håkon Pedersen, og jeg kommer fra Trondheim.","My name is Håkon Pedersen, and I come from Trondheim."
95,"Jeg er lærer, og jeg underviser på norskkurs.","I am a teacher, and I teach on a Norwegian course."
96,Jeg treffer mennesker fra forskjellige land.,I meet people from different countries.
97,"De kan fortelle mange historier, og jeg lærer mye av dem.","They can tell many stories, and I learn a lot from them."
98,"Vi har det hyggelig, og vi ler ofte i klassen.","We have a good time, and we often laugh in class."
99,"Jeg skal hjelpe dem å lære norsk, både muntlig og skriftlig.","I will help them learn Norwegian, both orally and in writing."
100,De skal også lære om Norge.,They will also learn about Norway.
101,"Jeg liker å være lærer, og jeg er veldig glad i jobben.",I like to be a teacher and I am very fond of the job.
