,NO,EN
0,DET ER SNART JUL,IT `S CHRISTMAS SOON
1,"Det er desember, og på hotellet arrangerer de julebord hver kveld. ","It is December, and at the hotel they organize Christmas tables every night."
2,"I hallen står det et stort juletre, og i restauranten går Nikos fram og tilbake. ","In the hall there is a big Christmas tree, and in the restaurant Nikos goes back and forth."
3,"Det er mye å gjøre. Det ligger rene, hvite duker på bordene. ","There is a lot to do.There are clean, white tablecloths on the tables."
4,Han setter glass og tallerkener på bordene og legger servietter og bestikk ved siden av. ,He puts glass and plates on the tables and puts napkins and cutlery next door.
5,I en pause snakker han litt med Øyvind på kjøkkenet.,In a break he talks a bit with Øyvind in the kitchen.
6,"Nå er det snart jul, Øyvind. Er du i mål?","Now it's Christmas, Øyvind.Are you in goal?"
7,Ikke helt.,Not completely.
8,"Jeg har kjøpt julemat,men jeg mangler en presang til Jolanta. ","I bought Christmas food, but I lack a gift for Jolanta."
9,Jeg vet ikke hva jeg skal kjøpe. ,I don't know what to buy.
10,Hva med et smykke eller en fin genser?,What about a jewelry or a nice sweater?
11,Jolanta sier at jeg har dårlig smak.,Jolanta says I have bad taste.
12,"Noe til huset, kanskje?","Something for the house, maybe?"
13,"Å nei. I fjor kjøpte jeg en støvsuger, og det var ikke populært!",Oh no.Last year I bought a vacuum cleaner and it was not popular!
14,Det forstår jeg. ,That I understand.
15,Du har ikke bare dårlig smak. Du har dårlig fantasi også. ,You don't just have bad taste.You have bad imagination too.
16,"Ja,jeg vet det. Hva spiser dere til jul? ",Yes I know.What do you eat for Christmas?
17,Vi spiser lutefisk på julaften. ,We eat lutefish on Christmas Eve.
18,I år kommer foreldrene til Jolanta fra Polen. ,"This year, the parents of Jolanta from Poland come."
19,Så da blir det både lutefisk og suppe med rødbeter. ,So then it will be both lutefish and soup with beets.
20,Det siste er tradisjonell polsk julemat. ,The latter is traditional Polish Christmas food.
21,Hva med deg? Skal du hjem til jul?,What about you?Are you going home for Christmas?
22,"Nei, jeg må jobbe. Jeg har ikke råd til å dra hjem nå. ","No, I have to work.I can't afford to go home now."
23,Dessuten må jeg lese til eksamen. ,"Besides, I have to read for the exam."
24,"Men neste helg har jeg fri, og da skal jeg lage gresk mat til en hyggelig person. ","But next weekend I am free, and then I will cook Greek food for a nice person."
25,"Å, hvem da? Det er en hemmelighet. Men nå må jeg jobbe.","Oh, who then?It's a secret.But now I have to work."
26,"Det er snart jul, og Øyvind forteller at han ikke er ferdig med alt han må gjøre. ","It's Christmas soon, and Øyvind says he's not done with everything he has to do."
27,Han sier at han ikke har kjøpt julegave til kona si ennå. ,He says he has not bought a Christmas present for his wife yet.
28,"I jula får han besøk av svigerforeldrene fra Polen, og derfor skal de spise både norsk og polsk julemat. ","During Christmas he is visited by the parents -in -law from Poland, and therefore they will eat both Norwegian and Polish Christmas food."
29,"På hotellet er det ekstra mye å gjøre, for mange har bestilt julebord i restauranten. ","At the hotel there is a lot to do, because many have booked a Christmas table in the restaurant."
30,Hver kveld er restauranten full av festkledde mennesker som spiser og drikker. ,"Every night, the restaurant is full of party -clad people eating and drinking."
31,Noen drikker for mye alkohol. ,Some drink too much alcohol.
32,"Det vil de angre på dagen etter, tror Nikos.","They will regret the next day, Nikos believes."
33,JULEBORD,CHRISTMAS PARTY
34,Mange går ut og spiser sammen i tida før jul.,Many people go out and eat together in the time before Christmas.
35,Firma er og vennegjenger arrangerer gjerne julebord.,Company is also a group of friends organizes Christmas parties.
36,"Det er en populær tradisjon på mange arbeidsplasser, en hyggelig fest der de ansatte pynter seg og møter hverandre utenfor jobben. ","It is a popular tradition in many workplaces, a nice party where the staff decorate and meet each other outside the job."
37,"Julebordene foregår ofte på restaurant, og gjestene spiser god mat, både tradisjonell julemat og andre retter.","The Christmas tables often take place at a restaurant, and guests eat good food, both traditional Christmas food and other dishes."
38,JUL,CHRISTMAS
39,"Den 24. desember erdet julaften, og da spiser mange tradisjonell julemat. ","On December 24, Christmas Eve was there, and then many traditional Christmas food eats."
40,Ribbe og pinnekjøtt er vanlig julemat i Norge. ,Ribs and stick meat are regular Christmas food in Norway.
41,"Barn og voksne får gaver, og de fleste haret juletre i stua. ","Children and adults receive gifts, and most harassed Christmas trees in the living room."
42,Før jul er det vanligå si: God jul!,Before Christmas it is common to say: Merry Christmas!
43,NYTTÅR,NEW YEAR
44,Den 31. desember er det nyttårsaften. ,"On December 31, it is New Year's Eve."
45,"Klokka tolv om natta ønsker vi hverandre godt nyttår, og mange steder er det fyrverkeri.","At twelve o'clock in the night we wish each other a happy New Year, and in many places there is fireworks."
46,PÅSKE,EASTER
47,Påsken kommeri mars eller april.,Easter comes March or April.
48,"Det er mange helligdageri påsken, og skoleelevene har fri fra lørdagen før palmesøndag til og med 2. påskedag. ","There are many holidays Easter, and school students are free from Saturday before Palm Sunday until the 2nd Easter Sunday."
49,Før påske er det vanlig å si: God påske!,Before Easter it is common to say: Good Easter!
50,HØSTEN HAR GÅTT SÅ FORT,Autumn has gone so fast
51,Nikos ringer til familien sin i Hellas for å høre hva de ønsker seg til jul. ,Nikos calls his family in Greece to hear what they want for Christmas.
52,"Han forteller at han ikke kommer hjem i jula, men at han kanskje reiser til Hellas i påskeferien. ","He says that he does not come home this Christmas, but that he may be traveling to Greece during the Easter holidays."
53,Søstera hans er bare sju år og blir lei seg. ,His sister is only seven years old and gets upset.
54,"Hvis han ikke kommer i påsken, reiser hun til Norge, sier hun. ","If he does not come at Easter, she travels to Norway, she says."
55,Nikos ler og svarer at hun er hjertelig velkommen.,Nikos laughs and replies that she is warmly welcomed.
56,Etterpå skyper han med en venn som bor i Hellas.,"Afterwards, he shoots with a friend living in Greece."
57,"Vennen har hatt jobb på en kafé, men etter jul er det slutt. ","The friend has had a job in a cafe, but after Christmas it is over."
58,Da stenger kafeen. ,Then the cafe closes.
59,Han vil gjerne finne seg en jobb i et annet land og spør om de trenger flere folk på Solvåg hotell. ,He would like to find a job in another country and ask if they need more people at Solvåg Hotel.
60,Nikos lover å undersøke. ,Nikos promises to investigate.
61,Han vil også undersøke på andre kafeer og hoteller.,He will also investigate at other cafes and hotels.
62,Nikos setter seg ved vinduet og ser ut. ,Nikos sits down by the window and looks.
63,"Det snør ute, og hele naturen er svart og hvit, synes han. ","It snows out, and the whole nature is black and white, he thinks."
64,Hvor ble det av alle fargene? Høsten har gått så fort. ,Where were all the colors?The fall has gone so fast.
65,"Han har studert hver dag, og samtidig har han hatt deltidsjobb på hotellet. ","He has studied every day, and at the same time he has had a part -time job at the hotel."
66,"Han er glad for jobben og for inntektene, men han savner et liv ved siden av jobb og skole. ","He is happy about the job and for the revenue, but he misses a life next to work and school."
67,Nå har han nesten ikke tid til å gå på kino.,Now he almost doesn't have time to go to the movies.
68,"Men i kveld skjer det noe spesielt, tenker han. ","But tonight something special happens, he thinks."
69,"Han har endelig invitert Teresa på moussaka, og hun har sagt ja. Han gleder seg. ","He has finally invited Teresa to Moussaka, and she has said yes.He is looking forward."
70,"Han har kjøpt grønnsaker, vin og mange stearinlys. Nå skal det bli koselig, som nordmenn sier!","He has bought vegetables, wine and many candles.Now it will be cozy, as Norwegians say!"
71,ET NYTT ÅR,A new year
72,Øyvind forteller,Øyvind tells
73,"Nå er det rolig på hotellet, og det er godt. Jula er over, og et nytt år har begynt. ","Now it's quiet in the hotel and it's good.Christmas is over, and a new year has begun."
74,"I tida før jul jobbet jeg mange sene kvelder, og det ble mye overtid. ","In the time before Christmas I worked many late evenings, and there was a lot of overtime."
75,"Men nå skal jeg avspasere, og jeg gleder meg til noen fridager hjemme. ","But now I'm going to relax, and I'm looking forward to some holidays at home."
76,Det blir en fin måte å starte det nye året på.,It will be a great way to start the new year.
77,I går laget jeg mat til et hyggelig selskap i restauranten.,Yesterday I cooked for a nice company in the restaurant.
78,"Da ble Marie, bestemora mi, 90 år, og vi hadde stor familie- fest på hotellet. ","Then Marie, my grandmother, became 90, and we had a big family party at the hotel."
79,"Bestemora mi er ei flott dame! Da jeg var liten, var jeg mye hos henne. ","My grandmother is a great lady!When I was a kid, I was with her a lot."
80,"Hver fredag bakte hun brød, og jeg elsket å sitte på kjøkkenet hennes. ","Every Friday she baked bread, and I loved sitting in her kitchen."
81,Der fikk jeg varmt brød med smør og honning på. ,There I got hot bread with butter and honey.
82,"Mm, jeg kan ennå kjenne den deilige smaken. ","Mm, I can still feel the delicious taste."
83,Bestemora mi var også frisør. ,My grandmother was also a hairdresser.
84,Maries frisør sto det på døra. ,Marie's hairdresser was at the door.
85,"Det var så hyggelig i frisørsalongen hennes, med rare lukter og folk som pratet sammen mens de ventet.","It was so nice in her hair salon, with weird smells and people talking together while waiting."
86,OVERTID OG AVSPASERING,Overtime and off
87,"Vanlig arbeidstid skal ikke være mer enn ni timeri døgnet, og maksimalt 40 timeri uka.","Regular working hours should not be more than nine hours a day, and a maximum of 40 hours a week."
88,"Hvis du jobber mer enn det, er det overtid.","If you work more than that, it's overtime."
89,Øyvind har jobbet mye. Han skal avspasere noen dager. ,Øyvind has worked a lot.He will relax for a few days.
90,Det betyr at han får noen fridager. ,That means he gets some holidays.
91,På noen arbeidsplasser kan man få ekstra lønn i stedet for å avspasere.,"In some workplaces, you can get extra wages instead of relaxing."
92,BURSDAGSFEST,Birthday party
93,Marie forteller,Marie tells
94,"I går ble jeg 90 år, og jeg var sammen med familien min, både barn, barnebarn og oldebarn, på Solvåg hotell. ","Yesterday I turned 90, and I was with my family, both children, grandchildren and great -grandchildren, at Solvåg Hotel."
95,Der laget de en stor bursdagsfest for meg. ,There they made a big birthday party for me.
96,90 år! Jeg kan nesten ikke tro det. ,90 years!I can hardly believe it.
97,"Tida har gått så fort. Jeg giftet meg ung, bare 19 år gammel. ","Time has passed so fast.I married young, just 19 years old."
98,"Mannen min, Peder, arbeidet som snekker. Han laget møbler. ","My husband, Peder, worked as a carpenter.He made furniture."
99,Det var vanskelig å finne et sted å bo. ,It was difficult to find a place to stay.
100,"Krigen var slutt, men mange hus var fremdeles ødelagt. ","The war was over, but many houses were still destroyed."
101,Heldigvis fant vi et lite hus til slutt.,"Fortunately, we found a small house in the end."
102,Jeg var så glad i Peder. ,I was so fond of Peder.
103,Han var alltid positiv og i godt humør. ,He was always positive and in a good mood.
104,"«Ta det med ro! Det ordner seg», så han bestandig. ","""Take it easy!It works out, ”he always."
