,NO,EN
0,KULTUR OG TRADISJONER,Culture and traditions
1,"Begrepet kultur har mange definisjoner, men det blir ofte definert som de verdiene og tradisjonene vi tar med oss fra generasjonen før og forsøker å bringe videre til neste generasjon.","The concept of culture has many definitions, but it is often defined as the values and traditions we take with us from the generation before and try to pass on to the next generation."
2,HVA ER KULTUR?,What is culture?
3,Endelig har planene blitt realisert! ,"Finally, the plans have been realized!"
4,Holdeplassen har blitt kafé!,The stop has become a cafe!
5,Etter en lang og travel periode med mange søknader og intens byggevirksomhet kan Gunnar ønske velkommen til en hyggelig kafé i tillegg til kiosken. ,"After a long and busy period with many applications and intense construction activities, Gunnar can welcome a nice cafe in addition to the kiosk."
6,I dag har Pari og Hamid bestemt seg for å spise lunsj der. ,"Today, Pari and Hamid have decided to have lunch there."
7,"Mens de spiser, snakker de om jobbene sine. ","While eating, they talk about their jobs."
8,"Pari er i gang med å skrive en artikkel om kultur, og Hamid lurer på hvordan det går.","Pari is writing an article on culture, and Hamid wonders how things are going."
9,"Jeg skriver blant annet om de ulike assosiasjonene vi har til begrepet kultur, og nå kan jeg jo spørre deg:","I write about the various associations we have to the concept of culture, and now I can ask you:"
10,Hva er det første du tenker på når du hører ordet kultur?,What is the first thing you think of when you hear the word culture?
11,For meg er kultur noe vi har med oss fra vi er små.,"For me, culture is something we have with us from we are young."
12,Den påvirker måten vi forstår samfunnet på og måten vi forholder oss til moral og religion på.,It affects the way we understand society and the way we relate to morality and religion.
13,"Musikken kan fortelle noe viktig om landet den er laget i, enten det er Iran eller Norge. ","The music can tell something important about the country it is made in, whether it is Iran or Norway."
14,Det handler om å høre godt etter.,It's all about listening well.
15,"Det var et godt svar, synes jeg. ","It was a good answer, I think."
16,Jeg er noen ganger redd for at han og Sara skal glemme kulturen vår og landet de kommer fra.,I'm sometimes afraid that he and Sara will forget our culture and land they come from.
17,"De er blitt veldig norske, synes jeg.","They have become very Norwegian, I think."
18,"Vel, Darian var jo bare tre år da han kom hit, men han både forstår og snakker persisk veldig bra.","Well, Darian was only three years old when he came here, but he both understands and talks Persian very well."
19,"Jeg synes han er flink, jeg.","I think he's good, me."
20,Sara har mange norske venner og er vant til å ta egne valg.,Sara has many Norwegian friends and is used to making her own choices.
21,"Samtidig er hun veldig interessert når vi forteller om familien og livet i Iran, og hun har lært å lage iransk mat.","At the same time, she is very interested when we talk about the family and life in Iran, and she has learned to cook Iranian food."
22,Det har du rett i. ,You are right.
23,Men hva mener du om kultur?,But what do you think about culture?
24,Hva er det første du tenker på?,What is the first thing you think about?
25,"Da tenker jeg på bøker jeg liker, eller gode minner fra Iran.","Then I think of books I like, or good memories from Iran."
26,"Når Sara kommer hjem med sjokolade som smaker og lukter som Iran, er det kultur for meg.","When Sara comes home with chocolate that tastes and smells like Iran, it's culture for me."
27,"Enig, men der kommer Gunnar. ","Agree, but there comes Gunnar."
28,Kanskje du kan spørre ham?,Maybe you can ask him?
29,Går det bra?,Is it going well?
30,Smakte maten?,Did the food taste good?
31,"Det var kjempegodt, Gunnar, men jeg har et spørsmål til deg. ","It was great, Gunnar, but I have a question for you."
32,Hva er det første du tenker på når du hører ordet kultur?,What is the first thing you think of when you hear the word culture?
33,"Kultur? Oi, hva skal jeg si? ","Culture?Oi, what should I say?"
34,"Jo, da tenker jeg på Nord-Norge, på dialekten der og folk jeg kjenner.","Yes, then I think of Northern Norway, the dialect there and people I know."
35,Jeg tenker også på faren min.,I also think of my dad.
36,"Ja, på latteren hans og måten han forteller gode historier på. ","Yes, in his laughter and the way he tells good stories."
37,Jeg har forresten nettopp fått vite at farmora mi var halvt samisk. ,"By the way, I just learned that my grandmother was half Sami."
38,"Det fortalte hun aldri til pappa, og heller ikke til meg. ","She never told me Dad, nor to me."
39,"Nå vil jeg prøve å finne ut mer om kulturen hennes, hvor hun vokste opp, og hvordan hun hadde det.","Now I want to try to find out more about her culture, where she grew up and how she was doing."
40,Etterpå tenker Gunnar på samtalen og på ordet «kultur».,"Afterwards, Gunnar thinks of the conversation and the word ""culture""."
41,Kultur forteller både hva man er en del av og hva man ikke er en del av. ,Culture tells both what you are part of and what you are not part of.
42,"Han synes for eksempel at Sara er ei flott jente, og de snakker ofte sammen. ","For example, he thinks that Sara is a great girl, and they often talk together."
43,Men hva mener Pari og Hamid?,But what does Pari and Hamid mean?
44,Vil de akseptere at en norsk mann er interessert i dattera deres? ,Will they accept that a Norwegian man is interested in their daughter?
45,Han er litt usikker.,He's a little uncertain.
46,Samene,Sami
